,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp F,Wind Speed mph
281,Strenči,93,LV,1609622844,95,57.63,25.69,30.0,4.0
282,Jacksonville,90,US,1609622618,69,30.33,-81.66,78.01,10.29
283,Nur,99,PL,1609622844,87,52.67,22.32,35.01,1.99
284,Berbérati,82,CF,1609622845,35,4.26,15.79,72.5,0.27
285,Gamba,100,GA,1609622845,88,-2.65,10.0,77.63,5.17
286,Tulsa,90,US,1609622845,75,36.1,-95.9,43.0,5.3
287,Kahului,40,US,1609622617,65,20.89,-156.47,78.8,16.11
288,Hong Kong,34,HK,1609622845,63,22.29,114.16,57.99,15.19
289,Port Hedland,70,AU,1609622772,83,-20.32,118.57,84.2,10.29
290,College,75,US,1609622846,83,64.86,-147.8,-7.01,3.13
291,Namatanai,99,PG,1609622846,74,-3.67,152.43,80.71,3.18
292,Rockhampton,60,AU,1609622846,78,-23.38,150.5,77.0,8.05
293,Oron,1,NG,1609622847,82,4.83,8.23,80.51,6.29
294,Cidreira,3,BR,1609622831,71,-30.18,-50.21,72.75,14.45
295,Avera,90,US,1609622847,71,33.19,-82.53,62.6,2.75
296,Port Macquarie,90,AU,1609622848,100,-31.43,152.92,69.8,4.7
297,Constitución,14,CL,1609622818,61,-35.33,-72.42,65.03,11.23
298,Evans,90,US,1609622848,87,33.53,-82.13,60.8,4.7
299,Narsaq,100,GL,1609622792,86,60.92,-46.05,28.4,5.82
300,Dawei,0,MM,1609622849,56,14.08,98.2,67.23,4.7
301,Sühbaatar,47,MN,1609622849,82,50.23,106.21,-16.8,3.44
302,Blairmore,56,CA,1609622849,52,49.6,-114.44,41.0,11.41
303,Bakel,0,SN,1609622849,19,14.9,-12.46,81.48,7.47
304,Lalín,75,ES,1609622850,93,42.72,-8.12,37.4,1.12
305,Altay,55,CN,1609622850,74,47.87,88.12,-8.99,3.71
306,Luanda,75,AO,1609622850,83,-8.84,13.23,78.8,3.36
307,Baracoa,47,CU,1609622850,71,20.35,-74.5,78.48,13.24
308,Abhā,0,SA,1609622850,50,18.22,42.51,55.4,1.34
309,San Antonio,1,US,1609622561,26,29.42,-98.49,62.6,11.41
310,Carutapera,99,BR,1609622851,77,-1.2,-46.02,80.76,7.94
311,Pincher Creek,100,CA,1609622851,52,49.48,-113.95,43.0,31.09
312,Samarkand,0,UZ,1609622851,58,39.65,66.96,26.6,9.17
313,Kutum,75,SD,1609622852,28,14.2,24.67,60.13,5.88
314,Pangnirtung,20,CA,1609622852,76,66.15,-65.71,-9.4,3.36
315,Brae,56,GB,1609622852,80,60.4,-1.35,39.2,17.22
316,Mahébourg,40,MU,1609622785,69,-20.41,57.7,77.0,17.22
317,Mossamedes,98,AO,1609622853,75,-15.2,12.15,72.03,6.31
318,Nuuk,90,GL,1609622853,92,64.18,-51.72,24.8,3.36
319,Roald,0,NO,1609622853,75,62.58,6.13,32.0,8.05
320,Saint Paul Harbor,90,US,1609622639,98,57.79,-152.41,32.0,21.92
321,Somerville,75,US,1609622692,70,42.39,-71.1,44.01,13.87
322,Winnemucca,90,US,1609622854,45,40.97,-117.74,46.4,8.05
323,Manadhoo,80,MV,1609622854,76,5.77,73.38,81.34,9.53
324,Laas,90,IT,1609622855,100,46.62,10.7,34.0,3.36
325,Salalah,0,OM,1609622855,73,17.02,54.09,71.6,4.7
326,Maniitsoq,100,GL,1609622855,88,65.42,-52.9,24.22,2.98
327,Touros,20,BR,1609622855,74,-5.2,-35.46,80.6,12.75
328,Lethem,34,GY,1609622856,51,3.38,-59.8,89.92,8.72
329,San Francisco,90,US,1609622790,87,37.77,-122.42,52.0,3.36
330,Port Lincoln,100,AU,1609622856,84,-34.73,135.87,62.85,13.58
331,Cabo San Lucas,20,MX,1609622603,46,22.89,-109.91,73.99,5.82
332,Thomaston,90,US,1609622856,82,32.89,-84.33,61.0,3.36
333,Taoudenni,0,ML,1609622857,26,22.68,-3.98,64.45,6.49
334,Hasaki,20,JP,1609622857,85,35.73,140.83,24.8,2.24
335,Kiryat Gat,0,IL,1609622857,82,31.61,34.76,57.99,2.24
336,Ambunti,100,PG,1609622857,98,-4.24,142.84,73.96,0.27
337,Soyo,76,AO,1609622857,89,-6.13,12.37,78.69,8.57
338,Katangli,0,RU,1609622858,85,51.71,143.23,-12.59,9.44
339,Wonthaggi,100,AU,1609622858,94,-38.6,145.59,64.0,10.16
340,Cam Ranh,75,VN,1609622858,78,11.92,109.16,75.2,17.22
341,Cradock,2,ZA,1609622858,51,-32.16,25.62,70.29,2.17
342,Richards Bay,99,ZA,1609622845,78,-28.78,32.04,68.9,2.55
343,Warri,3,NG,1609622859,86,5.52,5.75,78.78,5.66
344,Ancud,40,CL,1609622859,64,-41.87,-73.82,69.8,5.82
345,Barão de Cocais,75,BR,1609622774,65,-19.95,-43.49,84.2,4.7
346,Manokwari,100,ID,1609622804,77,-0.87,134.08,79.59,9.51
347,Artyom,90,AZ,1609622860,87,40.47,50.33,42.8,6.93
348,Meulaboh,100,ID,1609622860,85,4.14,96.13,76.12,3.8
349,Antofagasta,75,CL,1609622637,77,-23.65,-70.4,69.8,12.75
350,Edd,2,ER,1609622860,56,13.93,41.69,76.32,19.75
351,Zambezi,100,ZM,1609622861,92,-13.54,23.1,67.5,5.5
352,Basco,90,PH,1609622861,82,20.45,121.97,73.06,29.91
353,Medzilaborce,100,SK,1609622861,82,49.27,21.9,37.99,5.99
354,Ilulissat,76,GL,1609622861,61,69.22,-51.1,17.6,6.93
355,Pisco,0,PE,1609622862,73,-13.7,-76.22,75.2,18.34
356,Bāglung,0,NP,1609622862,40,28.27,83.59,52.34,5.03
357,Warrington,20,GB,1609622862,80,53.39,-2.58,36.0,10.29
358,Gunnedah,90,AU,1609622862,88,-30.98,150.25,68.0,5.86
359,Belaya Kholunitsa,100,RU,1609622868,95,58.84,50.85,10.51,9.37
360,Tuatapere,100,NZ,1609622868,97,-46.13,167.68,53.01,5.99
361,Berlevåg,99,NO,1609622868,95,70.86,29.09,26.64,9.08
362,São João da Barra,90,BR,1609622725,78,-21.64,-41.05,77.0,12.75
363,Canora,75,CA,1609622869,74,51.63,-102.43,37.4,16.11
364,Praia,20,CV,1609622857,78,14.92,-23.51,73.4,12.75
365,Negombo,40,LK,1609622869,83,7.21,79.84,78.8,1.12
366,Flinders,100,AU,1609622869,97,-34.58,150.86,66.99,8.99
367,Grindavik,90,IS,1609622820,100,63.84,-22.43,44.6,20.8
368,San Jose,90,US,1609622798,58,37.34,-121.89,59.0,8.05
369,Bull Savanna,0,JM,1609622870,62,17.89,-77.59,78.31,15.88
370,Yumen,100,CN,1609622870,81,40.28,97.2,13.71,6.69
371,Sigli,96,ID,1609622870,81,5.38,95.96,77.5,7.61
372,Evensk,100,RU,1609622871,86,61.95,159.23,-3.78,16.51
373,Lewisporte,90,CA,1609622871,73,49.25,-55.05,24.8,3.36
374,Sur,0,OM,1609622871,50,22.57,59.53,68.13,10.67
375,Yei,86,SS,1609622871,54,4.09,30.68,73.58,1.99
376,Kaili,100,ID,1609622872,91,-3.46,120.21,69.6,1.97
377,Qarqīn,0,AF,1609622872,91,37.42,66.04,16.95,1.21
378,Byron Bay,90,AU,1609622872,94,-28.65,153.62,73.0,0.45
379,Port Hardy,75,CA,1609622872,87,50.7,-127.42,48.2,2.24
380,Kalianget,100,ID,1609622873,78,-7.05,113.93,80.02,1.97
381,Tāybād,0,IR,1609622873,75,34.74,60.78,33.26,3.2
382,Churapcha,100,RU,1609622874,78,62.0,132.43,-46.55,1.41
383,Husavik,40,IS,1609622874,65,66.04,-17.34,44.6,12.75
384,Chokurdakh,0,RU,1609622791,84,70.63,147.92,-31.61,5.28
385,Sibu,40,MY,1609622875,100,2.3,111.82,75.2,2.24
386,Teacapan,0,MX,1609622875,41,22.55,-105.75,71.02,9.93
387,Abu Samrah,56,SY,1609622875,62,35.3,37.18,54.55,4.54
388,Kapit,100,MY,1609622875,94,2.02,112.93,74.82,0.65
389,Lagos,20,NG,1609622875,88,6.58,3.75,82.4,6.93
390,San Cristobal,40,VE,1609622819,65,7.77,-72.22,82.4,6.93
391,San Ramon,90,US,1609622678,93,37.78,-121.98,52.0,10.29
392,Lubango,98,AO,1609622724,88,-14.92,13.49,58.08,4.0
393,Mount Isa,100,AU,1609622876,83,-20.73,139.5,78.8,1.16
394,Beipiao,0,CN,1609622876,78,41.79,120.78,0.68,0.98
395,Magugu,100,TZ,1609622877,81,-4.02,35.77,67.87,1.41
396,Renqiu,75,CN,1609622877,74,38.7,116.09,19.4,6.93
397,Villa San Giovanni,20,IT,1609622877,82,38.23,15.64,55.4,2.24
398,Storforshei,0,NO,1609622877,84,66.4,14.52,21.99,1.01
399,Nizwá,0,OM,1609622878,38,22.93,57.53,56.14,0.87
400,Usinsk,0,RU,1609622878,83,65.99,57.53,-9.17,5.82
401,Bela,99,IN,1609622878,52,25.93,81.98,60.46,2.3
402,Ranong,70,TH,1609622878,79,9.97,98.63,73.62,6.31
403,Cambridge,90,CA,1609622878,86,43.36,-80.31,30.99,4.7
404,Codajás,77,BR,1609622879,83,-3.84,-62.06,83.1,3.18
405,Yangi Marg`ilon,90,UZ,1609622824,85,40.43,71.72,23.0,1.1
406,Portland,100,US,1609622651,90,45.52,-122.68,50.0,5.99
407,Paragominas,78,BR,1609622879,82,-2.97,-47.48,80.19,2.95
408,San-Pédro,89,CI,1609622866,86,4.75,-6.64,79.0,7.74
409,Şebinkarahisar,5,TR,1609622880,90,40.29,38.42,33.71,2.42
410,Kupang,20,ID,1609622880,100,-10.17,123.58,75.2,1.12
411,Sivas Province,0,TR,1609622880,94,39.79,37.0,32.0,6.93
412,Almaznyy,75,RU,1609622881,100,48.04,40.05,35.6,2.24
413,Russell,75,US,1609622881,82,32.35,-85.2,62.6,4.61
414,Najrān,0,SA,1609622881,58,17.49,44.13,59.0,1.32
415,Itarema,0,BR,1609622881,72,-2.92,-39.92,81.0,17.0
416,Prainha,32,BR,1609622881,55,-1.8,-53.48,88.72,3.42
417,Bhādra,5,IN,1609622724,72,29.12,75.17,55.24,8.61
418,Mehamn,86,NO,1609622870,95,71.04,27.85,24.76,7.2
419,Clyde River,20,CA,1609622882,75,70.47,-68.59,-20.2,6.93
420,Kenai,1,US,1609622882,76,60.55,-151.26,9.0,3.36
421,Derzhavīnsk,79,KZ,1609622883,88,51.1,66.32,-10.7,12.08
422,Mahanje,100,TZ,1609622883,98,-9.93,35.33,64.24,0.65
423,Vitim,100,RU,1609622883,84,59.45,112.56,-17.79,12.3
424,Romny,37,UA,1609622883,93,50.75,33.47,32.85,7.25
425,Bubaque,0,GW,1609622884,69,11.28,-15.83,80.62,11.1
426,Hajnówka,100,PL,1609622884,100,52.74,23.58,36.0,5.08
427,Mombetsu,76,JP,1609622884,89,44.35,143.35,16.2,9.28
428,Skibbereen,20,IE,1609622884,93,51.55,-9.27,35.6,9.17
429,Skellefteå,23,SE,1609622885,92,64.75,20.95,19.4,5.82
430,Hamilton,90,US,1609622885,78,39.18,-84.53,41.0,3.4
431,Provideniya,85,RU,1609622792,87,64.38,-173.3,3.2,21.3
432,Tabuk,62,PH,1609622885,87,17.42,121.44,67.26,3.38
433,Stephenville,1,US,1609622807,30,32.22,-98.2,59.0,12.75
434,Santa Cruz de la Sierra,40,BO,1609622697,58,-17.8,-63.17,89.6,10.29
435,Muros,2,ES,1609622886,95,42.78,-9.06,39.0,1.01
436,Galle,35,LK,1609622887,87,6.04,80.22,76.23,6.35
437,Huarmey,12,PE,1609622887,71,-10.07,-78.15,73.76,10.49
438,Talara,0,PE,1609622887,57,-4.58,-81.27,80.6,19.46
439,Wawa,0,NG,1609622888,24,9.9,4.42,81.84,1.16
440,Oktyabr'skoye,41,RU,1609622888,85,43.06,44.74,24.8,4.47
441,Mahajanga,40,MG,1609622888,78,-15.72,46.32,78.8,6.93
442,Assiniboia,100,CA,1609622888,64,49.63,-105.98,37.4,20.8
443,Clarence Town,75,AU,1609622889,88,-32.58,151.78,72.0,9.17
444,Pelym,100,RU,1609622889,87,61.01,62.0,-18.58,6.53
445,Shenyang,0,CN,1609622889,76,41.79,123.43,-9.4,4.76
446,Saint-François,90,FR,1609622889,90,46.42,3.91,33.01,9.17
447,Half Moon Bay,90,US,1609622848,93,37.46,-122.43,54.0,9.17
448,Chicama,40,PE,1609622843,83,-7.84,-79.15,69.8,5.82
449,Arys,90,KZ,1609622890,100,42.43,68.8,19.4,6.58
450,Quebo,0,GW,1609622890,85,11.33,-14.93,73.94,4.99
451,Hengshui,100,CN,1609622891,78,37.73,115.7,22.37,6.6
452,Road Town,40,VG,1609622891,65,18.42,-64.62,78.8,13.87
453,Kuusamo,90,FI,1609622891,92,65.97,29.18,24.8,5.82
454,San Ignacio,40,BZ,1609622891,66,17.16,-89.07,86.0,6.93
455,Nyagan,0,RU,1609622892,85,62.14,65.39,-25.33,5.17
456,Il’inskiy,75,RU,1609622892,86,55.62,38.12,33.8,6.71
457,Pechora,0,RU,1609622892,89,65.15,57.22,-7.78,7.56
458,San Miguel de Tucumán,40,AR,1609622892,44,-26.82,-65.22,93.2,11.41
459,Pacific Grove,90,US,1609622703,93,36.62,-121.92,55.0,4.92
460,Lorengau,99,PG,1609622893,76,-2.02,147.27,83.1,7.65
461,Szczecinek,83,PL,1609622893,95,53.71,16.7,30.0,3.83
462,Urucará,33,BR,1609622893,59,-2.54,-57.76,88.57,2.37
463,Kargasok,0,RU,1609622893,84,59.06,80.86,-28.28,4.32
464,Podyuga,100,RU,1609622893,97,61.09,40.86,20.64,6.33
465,Tocopilla,10,CL,1609622894,54,-22.09,-70.2,72.82,4.88
466,Riyadh,0,SA,1609622894,76,24.69,46.72,57.2,7.34
467,Ukrayinka,75,UA,1609622894,93,47.92,35.35,37.4,2.24
468,Topolobampo,5,MX,1609622895,26,25.6,-109.05,75.0,14.99
469,Popondetta,33,PG,1609622895,80,-8.75,148.25,76.53,2.28
470,Nūrpur,94,IN,1609622895,34,29.15,78.42,59.81,3.02
471,Tezu,84,IN,1609622895,31,27.92,96.17,58.06,3.74
472,Tabou,24,CI,1609622895,85,4.42,-7.35,78.98,7.34
473,Cajamarca,75,PE,1609622896,87,-7.16,-78.5,57.2,2.24
474,Saint-Pierre,0,RE,1609622896,69,-21.34,55.48,77.0,20.8
475,Guaraniaçu,40,BR,1609622896,66,-25.1,-52.88,78.37,1.1
476,Darhan,82,MN,1609622896,86,49.49,105.92,-13.36,3.62
477,Obuasi,0,GH,1609622733,85,6.21,-1.66,76.05,4.34
478,Kumul,23,CN,1609622897,84,42.8,93.45,13.14,1.43
479,Puerto del Rosario,90,ES,1609622897,55,28.5,-13.86,64.4,17.22
480,Cape Coast,0,GH,1609622897,84,5.11,-1.25,80.38,11.77
481,Yasothon,9,TH,1609622897,70,15.75,104.13,63.0,8.99
482,Haines Junction,95,CA,1609622898,87,60.75,-137.51,-0.56,0.89
483,Nara,40,JP,1609622898,60,34.69,135.8,39.2,11.41
484,Goulburn,100,AU,1609622898,95,-34.75,149.72,63.0,8.75
485,Itacaré,40,BR,1609622899,74,-14.28,-39.0,82.4,10.29
486,Kętrzyn,57,PL,1609622899,98,54.08,21.38,30.22,4.72
487,Chaumont,92,FR,1609622714,92,48.12,5.13,30.99,3.0
488,Östersund,12,SE,1609622899,100,63.18,14.64,23.0,5.82
489,Kavaratti,0,IN,1609622899,66,10.57,72.64,81.14,7.87
490,Worland,20,US,1609622900,50,44.02,-107.96,36.0,5.32
491,Tyup,43,KG,1609622900,77,42.73,78.36,17.19,2.84
492,Sawtell,40,AU,1609622900,88,-30.38,153.1,73.4,4.7
493,Dubti,25,ET,1609622900,77,11.74,41.09,69.12,8.41
494,Katete,100,UG,1609622901,93,-0.78,29.75,62.35,2.98
495,Grand Forks,75,US,1609622901,86,47.94,-97.43,30.2,12.75
496,Durban,0,ZA,1609622901,88,-29.86,31.03,68.0,5.82
497,Katymár,100,HU,1609622901,67,46.03,19.21,43.92,17.34
498,Suntar,100,RU,1609622901,86,62.14,117.63,-16.62,10.02
499,Naze,75,JP,1609622847,67,28.37,129.48,59.0,8.05
500,Port Blair,99,IN,1609622703,78,11.67,92.75,78.64,10.74
501,Waycross,90,US,1609622902,83,31.21,-82.35,70.0,3.36
502,Carballo,40,ES,1609622902,100,43.21,-8.69,39.2,2.66
503,Kralendijk,40,BQ,1609622902,65,12.15,-68.27,82.4,18.34
504,Kloulklubed,90,PW,1609622903,100,7.04,134.26,71.6,4.7
505,Khairpur Nathan Shah,0,PK,1609622903,43,27.09,67.73,46.15,3.89
506,Campbellsville,90,US,1609622732,81,37.34,-85.34,48.0,3.36
507,Sinjār,55,IQ,1609622903,52,36.32,41.88,48.83,2.3
508,Piripiri,92,BR,1609622701,46,-4.27,-41.78,86.88,2.71
509,Jingdezhen,16,CN,1609622904,87,29.29,117.21,32.88,2.93
510,Springbok,84,ZA,1609622904,73,-29.66,17.89,68.79,22.62
511,Tefé,40,BR,1609622904,74,-3.35,-64.71,86.0,5.82
512,Nelson Bay,75,AU,1609622905,88,-32.72,152.15,72.0,9.17
513,Eureka,100,US,1609622758,81,40.8,-124.16,55.99,5.01
514,Praia da Vitória,75,PT,1609622905,87,38.73,-27.07,60.01,33.69
515,Pāsighāt,54,IN,1609622905,37,28.07,95.33,56.07,3.38
516,Adelaide,75,AU,1609622678,55,-34.93,138.6,66.2,8.05
517,High Level,90,CA,1609622906,84,58.52,-117.14,-0.4,2.24
518,Ayagoz,11,KZ,1609622906,86,47.97,80.44,-21.17,10.31
519,Sochaczew,100,PL,1609622906,10,52.23,20.24,36.0,4.38
520,Oyëk,75,RU,1609622907,83,52.59,104.46,-9.4,3.89
521,Verkhnyaya Inta,0,RU,1609622907,86,65.98,60.31,-8.54,1.5
522,Leiyang,0,CN,1609622907,69,26.4,112.86,41.02,1.16
523,Maralal,80,KE,1609622902,91,1.1,36.7,56.73,5.12
524,Zheleznodorozhnyy,75,RU,1609622714,86,55.75,38.0,33.8,6.71
525,Hobyo,22,SO,1609622909,73,5.35,48.53,76.8,19.55
526,Babayurt,100,RU,1609622909,90,43.6,46.78,39.18,1.25
527,Yablonovo,90,RU,1609622909,86,50.85,37.36,33.8,6.71
528,Tomatlán,50,MX,1609622909,30,19.93,-105.25,82.89,6.42
529,Camacha,40,PT,1609622808,67,33.08,-16.33,57.2,6.93
530,Fukuechō,34,JP,1609622910,54,32.69,128.84,47.64,13.35
531,Radcliff,90,US,1609622634,80,37.84,-85.95,42.01,1.34
532,Brattvåg,0,NO,1609622911,82,62.6,6.44,32.0,8.05
533,Sovetskiy,32,RU,1609622911,86,61.36,63.58,-25.26,7.0
534,Allāpalli,54,IN,1609622911,72,19.42,80.07,62.6,2.08
535,Shelburne,5,CA,1609622832,86,44.08,-80.2,33.01,6.35
536,Egvekinot,99,RU,1609622787,86,66.32,-179.17,-11.58,20.29
537,Chamalières,90,FR,1609622890,96,45.78,3.06,32.0,9.17
538,Abu Kamal,9,SY,1609622912,47,34.45,40.92,52.7,2.13
539,Bulgan,96,MN,1609622912,87,48.81,103.53,-10.84,2.44
540,Pontes e Lacerda,14,BR,1609622912,53,-15.23,-59.34,90.91,0.85
541,Broome,90,US,1609622822,86,42.25,-75.83,34.0,8.05
542,Wajima,100,JP,1609622913,87,37.4,136.9,35.13,16.89
543,Hwange,96,ZW,1609622913,92,-18.37,26.5,69.89,2.91
544,El Tambo,99,CO,1609622913,100,1.42,-77.4,56.7,4.54
545,Tungor,14,RU,1609622914,84,53.38,142.96,-19.05,13.11
546,Conde,20,BR,1609622814,78,-7.26,-34.91,80.6,11.41
547,Yerbogachën,100,RU,1609622860,85,61.28,108.01,-17.7,10.38
548,Bridlington,92,GB,1609622914,93,54.08,-0.19,39.0,6.93
549,Bandrele,0,YT,1609622914,78,-12.91,45.19,82.4,9.17
550,Palu,100,ID,1609622915,76,-0.89,119.87,74.71,1.95
551,Isla Vista,1,US,1609622915,63,34.41,-119.86,61.0,8.05
552,Fredericksburg,1,US,1609622915,76,38.3,-77.46,55.99,4.9
553,Solnechnyy,0,RU,1609622916,82,50.72,136.63,-18.36,1.57
554,Ambilobe,100,MG,1609622916,85,-13.2,49.05,75.6,3.2
555,Oskemen,40,KZ,1609622916,66,49.96,82.61,-32.8,0.11
556,San Policarpo,97,PH,1609622916,84,12.18,125.51,80.87,14.07
557,Seydi,0,TM,1609622916,81,39.48,62.91,28.26,8.46
558,Marshall,1,US,1609622917,58,34.38,-86.33,61.0,5.82
559,Mangai,66,CD,1609622702,96,-4.05,19.53,70.84,2.24
560,Sergeevka,0,KZ,1609622917,86,53.88,67.42,-19.64,7.67
561,Hinton,100,CA,1609622917,69,53.4,-117.59,37.4,3.36
562,Wajir,88,KE,1609622917,46,1.75,40.06,83.73,6.06
563,Khorixas,84,NA,1609622918,63,-20.37,14.97,65.77,10.76
